occurrenceID	basisOfRecord	scientificName	vernacularName	taxonRank	kingdom	phylum	class	order	family	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	locality	habitat	countryCode	eventDate	month	associatedReferences	dynamicProperties
AMAZON-VARZEA:OCC:1	HumanObservation	Ceiba pentandra	Kapok tree	species	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	-3.174933	-59.17313	5000	Central Amazon várzea floodplain	Amazon white-water floodplain (várzea) and river	BR	1990/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/5406697	{"sceneX":0.5,"sceneY":0.46,"trophicRole":"primary_producer","iucnCategory":"LC","seasonalPresence":{"wet":1,"dry":1},"cascadeFailOrder":1,"gbifTaxonKey":5406697,"gbifOccurrenceCount":39}
AMAZON-VARZEA:OCC:2	HumanObservation	Ara macao	Scarlet macaw	species	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	-3.648879	-59.839125	5000	Central Amazon várzea floodplain	Amazon white-water floodplain (várzea) and river	BR	1990/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/5959227	{"sceneX":0.34,"sceneY":0.36,"trophicRole":"pollinator","iucnCategory":"LC","seasonalPresence":{"wet":0.8,"dry":1},"cascadeFailOrder":2,"gbifTaxonKey":5959227,"gbifOccurrenceCount":3051}
AMAZON-VARZEA:OCC:3	HumanObservation	Colossoma macropomum	Tambaqui	species	Animalia	Chordata		Characiformes	Serrasalmidae	-3.140994	-60.022625	5000	Central Amazon várzea floodplain	Amazon white-water floodplain (várzea) and river	BR	1990/2024	2	GBIF Backbone Taxonomy: https://www.gbif.org/species/2353152	{"sceneX":0.3,"sceneY":0.72,"trophicRole":"herbivore","iucnCategory":"NE","seasonalPresence":{"wet":1,"dry":0.6},"cascadeFailOrder":2,"gbifTaxonKey":2353152,"gbifOccurrenceCount":145}
AMAZON-VARZEA:OCC:4	HumanObservation	Arapaima gigas	Arapaima (pirarucu)	species	Animalia	Chordata		Osteoglossiformes	Arapaimidae	-3.119027	-60.021731	5000	Central Amazon várzea floodplain	Amazon white-water floodplain (várzea) and river	BR	1990/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/5212877	{"sceneX":0.66,"sceneY":0.74,"trophicRole":"consumer","iucnCategory":"DD","seasonalPresence":{"wet":1,"dry":0.5},"cascadeFailOrder":3,"gbifTaxonKey":5212877,"gbifOccurrenceCount":149}
AMAZON-VARZEA:OCC:5	HumanObservation	Pteronura brasiliensis	Giant otter	species	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	-3.079493	-60.417689	5000	Central Amazon várzea floodplain	Amazon white-water floodplain (várzea) and river	BR	1990/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/2433681	{"sceneX":0.84,"sceneY":0.62,"trophicRole":"mesopredator","iucnCategory":"EN","seasonalPresence":{"wet":1,"dry":1},"cascadeFailOrder":4,"gbifTaxonKey":2433681,"gbifOccurrenceCount":27}
AMAZON-VARZEA:OCC:6	HumanObservation	Inia geoffrensis	Amazon river dolphin	species	Animalia	Chordata	Mammalia	Cetacea	Iniidae	-2.799401	-60.959212	5000	Central Amazon várzea floodplain	Amazon white-water floodplain (várzea) and river	BR	1990/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/2440314	{"sceneX":0.78,"sceneY":0.84,"trophicRole":"apex_predator","iucnCategory":"EN","seasonalPresence":{"wet":1,"dry":0.9},"cascadeFailOrder":4,"gbifTaxonKey":2440314,"gbifOccurrenceCount":398}
AMAZON-VARZEA:OCC:7	CameraTrap	Panthera onca	Jaguar	species	Animalia	Chordata	Mammalia	Carnivora	Felidae	-2.962787	-59.830015	5000	Central Amazon várzea floodplain	Amazon white-water floodplain (várzea) and river	BR	1990/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/5219426	{"sceneX":0.16,"sceneY":0.78,"trophicRole":"apex_predator","iucnCategory":"NT","seasonalPresence":{"wet":0.8,"dry":1},"cascadeFailOrder":5,"gbifTaxonKey":5219426,"gbifOccurrenceCount":77}
AMAZON-VARZEA:OCC:8	HumanObservation	Homo sapiens	Ribeirinho river communities	species	Animalia	Chordata	Mammalia	Primates	Hominidae	-2.433333	-59.85	5000	Central Amazon várzea floodplain	Amazon white-water floodplain (várzea) and river	BR	1990/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/2436436	{"sceneX":0.5,"sceneY":0.92,"trophicRole":"human_community","iucnCategory":"LC","seasonalPresence":{"wet":0.8,"dry":1},"cascadeFailOrder":0,"gbifTaxonKey":2436436,"gbifOccurrenceCount":1}
