paper_id,first_author,publication_year,title,publication,period,game_primary,franchise,er_code,er_confidence,kf_primary,kf_coprimary,nc_level,abstract_accessed,indigenous_paper,pokemon_cluster,irr_sample,training_set,coder_notes
Buettel2016,Buettel,2016,Egress! How technophilia can reinforce biophilia to improve ecological restoration,Restoration Ecology,2016-2019,,None,,,,,,N,N,N,,,
Coelho2016,Coelho,2016,Pokémon GO: o resgate das brincadeiras de rua e os possíveis benefícios à popularização da biodiversidade,I Colóquio de Zoologia Cultural - Livro do Evento,2016-2019,,Pokémon,,,,,,N,N,Y,,,
deLimaAlexandre2016,de Lima Alexandre,2016,Os moluscos presentes em Pokémon,I Colóquio de Zoologia Cultural - Livro do Evento,2016-2019,,Pokémon,,,,,,N,N,Y,Y,,
deOliveiraRoque2016,de Oliveira Roque,2016,Could Pokémon Go boost birding?,Nature,2016-2019,,Pokémon,,,,,,N,N,N,,,
Dorward2016,Dorward,2016,"Pokémon Go: Benefits, Costs, and Lessons for the Conservation Movement",Conservation Letters,2016-2019,,Pokémon,,,,,,N,N,N,,,
Drago2016,Drago,2016,Répteis e anfíbios como inspiração para os 151 primeiros Pokémon,I Colóquio de Zoologia Cultural - Livro do Evento,2016-2019,,Pokémon,,,,,,N,N,Y,,,
Emerson2016,Emerson,2016,Is ‘Pokémon Go’ Good For Science?,Vice,2016-2019,,Pokémon,,,,,,N,N,N,,,
England2016a,England,2016,"Sustainable Worlds, Sustainable Words: Using Digital Games to Develop Environmental Awareness in Writing Classrooms",Reflections,2016-2019,,None,,,,,,N,N,N,,,
England2016b,England,2016,Playing with the environment: Rhetorical representations of nature and sustainability in digital game spaces,dissertation,2016-2019,,None,,,,,,N,N,N,,,
Green2016,Green,2016,The Reconstruction of Morality and the Evolution of Naturalism in The Last of Us,Games and Culture,2016-2019,,LastOfUs,,,,,,N,N,N,,,
Haske2016,Haske,2016,"Exploring the hidden depths of ‘Abzû: Matt Nava talks the environmental, and mythological, soul of Giant Squid’s breathtaking undersea debut",Inverse,2016-2019,,None,,,,,,N,N,N,,,
Jański2016,Jański,2016,Towards a Categorisation of Animals in Video Games,Homo Ludens,2016-2019,,None,,,,,,N,N,N,,,
Liu2016,Liu,2016,Pokémon Go能促成新物种的发现？,Science World,2016-2019,,Pokémon,,,,,,N,N,N,Y,,
Milburn2016,Milburn,2016,“THERE AIN’T NO GETTIN’ OFFA THIS TRAIN”: Final Fantasy VII and the Pwning of Environmental Crisis,Sustainable Media: Critical Approaches to Media and Environment,2016-2019,,FinalFantasy,,,,,,N,N,N,,,
Nelson2016,Nelson,2016,Colliders with Context: Trees in First Person Shooter Computer Games,"The Philosophy of Computer Games Conference, Malta 2016",2016-2019,,None,,,,,,N,N,N,,,
none2016,none,2016,Gotta name them all: how Pokémon can transform taxonomy,Nature,2016-2019,,Pokémon,,,,,,N,N,N,,,
Pratique2016,Pratique,2016,"De la nature dans le jeu vidéo, esthétiques environnementales",dissertation,2016-2019,,None,,,,,,N,N,N,,,
Salvador2016,Salvador,2016,"Squids, octopuses and lots of ink",Journal of Geek Studies,2016-2019,,None,,,,,,N,N,Y,,,
Smith2016,Smith,2016,A walk in the park: Is Pokémon Go foreshadowing the future of biodiversity research and scientific outreach?,EMBO reports,2016-2019,,Pokémon,,,,,,N,N,N,Y,,
Swanstrom2016,Swanstrom,2016,"Animal, Vegetable, Digital: Experiments in New Media Aesthetics and Environmental Poetics","Animal, Vegetable, Digital: Experiments in New Media Aesthetics and Environmental Poetics",2016-2019,,None,,,,,,N,N,N,Y,,
Tomotani2016,Tomotani,2016,Over(bird)watch,Journal of Geek Studies,2016-2019,,None,,,,,,N,N,Y,,,
Öhman2016,Öhman,2016,Outdoor recreation in exergames: a new step in the detachment from nature?,Journal of Advenure Education and Outdoor Learning,2016-2019,,None,,,,,,N,N,N,,,
Abraham2017,Abraham,2017,Where are all the climate change games? Locating digital games’ response to climate change,Transformations,2016-2019,,None,,,,,,N,N,N,,,
Backe2017,Backe,2017,Within the Mainstream: An Ecocritical Framework for Digital Game History,Ecozon@,2016-2019,,None,,,,,,N,N,N,,,
Baker2017,Baker,2017,"Civilization and Its Contents: Procedural Rhetoric, Nationalism, and Civilization V",dissertation,2016-2019,,Civilization,,,,,,N,N,N,Y,,
Bartholomew2017,Bartholomew,2017,Using Pokéman GO to Teach Integrative STEM,Technology and Engineering Teacher,2016-2019,,Pokémon,,,,,,N,N,N,,,
Bledstein2017,Bledstein,2017,Gaming Together: The Communal Journey in Upper One Games’ Never Alone,RoundTable: Roehampton Journal for Academic and Creative Writing,2016-2019,,NeverAlone-Thunderbird,,,,,,N,Y,N,Y,,
Bohunicky2017,Bohunicky,2017,Ecomods: An Ecocritical Approach to Game Modification,Ecozon@,2016-2019,,None,,,,,,N,N,N,Y,,
deHaan2017,de Haan,2017,Romantic Dissonance: (the Limits to) Wandering through Nature in Open World Role-Playing Videogames,dissertation,2016-2019,,None,,,,,,N,N,N,,,
Fletcher2017,Fletcher,2017,Gaming conservation: Nature 2.0 confronts nature-deficit disorder,Geoforum,2016-2019,,None,,,,,,N,N,N,,,
Lehner2017,Lehner,2017,Videogames as Cultural Ecology: Flower and Shadow of the Colossus,Ecozon@,2016-2019,,None,,,,,,N,N,N,,,
Lupton2017,Lupton,2017,Pokémon in the Midst: Collecting and Using Data from within the Pokémon GO Ecosystem to Facilitate Ecology and Wildlife Biology Education,The American Biology Teacher,2016-2019,,Pokémon,,,,,,N,N,N,,,
Meloche2017,Meloche,2017,Playing in the Digital Qargi: Iñupiat Gaming and Isuma in Kisima Inŋitchuŋa,Transmotion,2016-2019,,NeverAlone-Thunderbird,,,,,,N,Y,N,,,
Mendes2017,Mendes,2017,The ichthyological diversity of Pokémon,Journal of Geek Studies,2016-2019,,Pokémon,,,,,,N,N,Y,,,
Navarro-Remesal2017,Navarro-Remesal,2017,Videojuego y Ecología: Nuevas formas deconcienciación,Presura,2016-2019,,None,,,,,,N,N,N,Y,,
Prado2017,Prado,2017,Arthropod diversity in Pokémon,Journal of Geek Studies,2016-2019,,Pokémon,,,,,,N,N,Y,,,
Rivera-Dundas2017,Rivera-Dundas,2017,Ecocritical Engagement in a Pixelated World,Ecozon@,2016-2019,,None,,,,,,N,N,N,,,
Salvador2017,Salvador,2017,The Unexplored Potential of Video Games for Animal Conservation,Tentacle,2016-2019,,None,,,,,,N,N,N,,,
Smith2017,Smith,2017,"Resources, Scenarios, Agency: Environmental Computer Games",Ecozon@,2016-2019,,None,,,,,,N,N,N,,,
Sykes2017,Sykes,2017,‘Those Chosen by the Planet’: Final Fantasy VII and Earth Jurisprudence,International Journal for the Semiotics of Law,2016-2019,,FinalFantasy,,,,,,N,N,N,,,
Tait2017,Tait,2017,Making Gamer Worlds in Mass Appeal Futuristic Online Games,dissertation,2016-2019,,None,,,,,,N,N,N,,,
Bianchi2018,Bianchi,2018,Simulated Species: The Question of the Animal in Digital Games,dissertation,2016-2019,,None,,,,,,N,N,N,,,
Bonner2018,Bonner,2018,On Striated Wilderness and Prospect Pacing: Rural Open World Games as Liminal Spaces of the Man-Nature Dichotomy,Proceedings of DiGRA 2018,2016-2019,,None,,,,,,N,N,N,Y,,
duPlessis2018,du Plessis,2018,The becoming-flower of video games: a Deleuzoguattarian analysis of Thatgamecompany’s Flower (2009),Image & Text,2016-2019,,None,,,,,,N,N,N,,,
Duncan2018,Duncan,2018,Savage Beasts: The Spatial Conflict between Civilization and Nature in The Elder Scrolls V: Skyrim,First Person Scholar,2016-2019,,Civilization,,,,,,N,N,N,,,
Escaravajal-Rodríguez2018,Escaravajal-Rodríguez,2018,Pokémon GO i la seva influència en usuaris espanyols de Facebook,Apunts. Educació Fisica I Esports,2016-2019,,Pokémon,,,,,,N,N,N,,,
Farca2018,Farca,2018,The Last of Us and the Journey to Nature,Playing Dystopia: Nightmarish Worlds in Video Games and the Player's Aesthetic Response,2016-2019,,LastOfUs,,,,,,N,N,N,,,
Freeman2018,Freeman,2018,Mediated Nature,"Children, Nature and Cities: Rethinking the Connections",2016-2019,,None,,,,,,N,N,N,,,
Green2018,Green,2018,"""Here You Are at Last, in a Ruined and Drowning World"": The Dishonored Series as Environmental and Social Commentary",Popular Culture Review,2016-2019,,None,,,,,,N,N,N,,,
Kittel2018,Kittel,2018,The entomological diversity of Pokémon,Journal of Geek Studies,2016-2019,,Pokémon,,,,,,N,N,Y,,,
LaPensée2018,LaPensée,2018,Thunderbird Strike: Survivance in/of an Indie Indigenous Game,Video Game Art Reader: Volume 2,2016-2019,,NeverAlone-Thunderbird,,,,,,N,Y,N,,,
Lehner2018,Lehner,2018,A Short Theory of Ecocritical Metagames: Shadow of the Colossus and Everything,Paidia - Journal for Computer Game Research,2016-2019,,None,,,,,,N,N,N,,,
