paper_id,first_author,publication_year,title,publication,period,game_primary,franchise,er_code,er_confidence,kf_primary,kf_coprimary,nc_level,abstract_accessed,indigenous_paper,pokemon_cluster,irr_sample,training_set,coder_notes
Haugom2019,Haugom,2019,When Ludology and Narratology Meet: A Comparative Analysis of an Ecofictional Video Game and an Ecofictional Book,dissertation,2016-2019,,None,,,,,,N,N,N,Y,,
Jansen2019,Jansen,2019,The Environment at Play: Confronting Nature in The Elder Scrolls V: Skyrim and the “Frostfall” Ecomod,Press Start,2016-2019,,None,,,,,,N,N,N,Y,,
Navarro-Remesal2019,Navarro-Remesal,2019,"Pixelated nature: ecocriticism, animals, moral consideration, and degrowth in videogames",Logos,2016-2019,,None,,,,,,N,N,N,Y,,
Sellers2019,Sellers,2019,Pixelated Frontiers: Videogames and the Sublimation of Nature,dissertation,2016-2019,,None,,,,,,N,N,N,Y,,
Comerford2020,Comerford,2020,"Coconuts, Custom-Play & COVID-19: Social Isolation, Serious Leisure and Personas in Animal Crossing: New Horizons",Persona Studies,2020-2022,,AnimalCrossing,,,,,,N,N,N,Y,,
Galloway2020,Galloway,2020,Soundwalking and the Aurality of Stardew Valley: An Ethnography of Listening to and Interacting with Environmental Game Audio,Music in the Role-Playing Game: Heroes & Harmonies,2020-2022,,StardewValley,,,,,,N,N,N,Y,,
Goulart2020,Goulart,2020,As plantas carnívoras e cactos Caryophyllales em Pokémon um olhar a partir da Botânica Cultural,A Bruxa,2020-2022,,Pokémon,,,,,,N,N,Y,Y,,
Graça2020,Graça,2020,Poké-aves: a diversidade ornitológica como referência para a franquia Pokémon,A Bruxa,2020-2022,,Pokémon,,,,,,N,N,Y,Y,,
LeVaillant2020,Le Vaillant,2020,What’s your favourite Pokémon? Pocket monster popularity reflects interest in real-world Biology,Journal of Geek Studies,2020-2022,,Pokémon,,,,,,N,N,Y,Y,,
Chang2021,Chang,2021,Digital Games,The Cambridge Companion to Literature and the Anthropocene,2020-2022,,None,,,,,,N,N,N,Y,,
Dyer2021,Dyer,2021,"“In You All Things”: Biblical Influences on Story, Gameplay, and Aesthetics in Guerrilla Games’ Horizon Zero Dawn",Journal for Interdisciplinary Biblical Studies,2020-2022,,Horizon,,,,,,N,N,N,Y,,
Gusland2021,Gusland,2021,Video Games and Sustainability Transformations: Exploring the Potential for Empowered Subjectivities through Virtual Experience A Qualitative Case Study of Eco,dissertation,2020-2022,,None,,,,,,N,N,N,Y,,
Hubertová2021,Hubertová,2021,Reflection on Environmental Issues in Mainstream Video Games: Asking Players,dissertation,2020-2022,,None,,,,,,N,N,N,Y,,
Laato2021,Laato,2021,Central Themes of the Pokémon Franchise and why they Appeal to Humans,Proceedings of the 54th Hawaii International Conference on System Sciences,2020-2022,,Pokémon,,,,,,N,N,N,Y,,
Saaty2021a,Saaty,2021,A Study on Pokémon GO: Exploring the Potential of Location-based Mobile Exergames in Connecting Players with Nature,"Extended Abstracts of the 2021 Annual Symposium on Computer-Human Interaction in Play (CHI PLAY ’21), October 18-21, 2021, Virtual Event, Austria",2020-2022,,Pokémon,,,,,,N,N,N,Y,,
Vuong2021b,Vuong,2021,On the environment-destructive probabilistic trends: A perceptual and behavioral study on video game players,Technology in Society,2020-2022,,None,,,,,,N,N,N,Y,,
Williams2021,Williams,2021,The Use of Poetry in Horizon Zero Dawn,Popular Culture Review,2020-2022,,Horizon,,,,,,N,N,N,Y,,
Cox2022,Cox,2022,Sustainability in City-Building Games,Proceedings of DiGRA 2022,2020-2022,,None,,,,,,N,N,N,Y,,
King2022,King,2022,"The Voice Not from Rivia: Silence, Ecofeminism, and Their Limits in The Witcher Series",dissertation,2020-2022,,None,,,,,,N,N,N,Y,,
Rosa2022,Rosa,2022,Pokécrustacea: the crustacean-inspired Pokémon,Journal of Geek Studies,2020-2022,,Pokémon,,,,,,N,N,Y,Y,,
Seller2022,Seller,2022,Ugly Death: Rotting with the More-than-human in The Last of Us Part II (2020),Revenant: Critical and Creative Studies of the Supernatural,2020-2022,,LastOfUs,,,,,,N,N,N,Y,,
Smith2022,Smith,2022,Commentary: Colonialist Values in Animal Crossing and Their Implications for Conservation,Highlights of Sustainability,2020-2022,,AnimalCrossing,,,,,,N,N,N,Y,,
