first_author,publication_year,title,publication
"Carral-Murrieta",2023,"From reality to fiction: cnidarians that inspire the Pokémon world","Journal of Geek Studies"
"Cavallari",2015,"Shells and bytes: mollusks in the 16-bit era","Journal of Geek Studies"
"Cook",2024,"The Sonic Environments of Medieval(ist) Games","Music and Sonic Environments in Video Games: Listening to and Performing Ludic Soundscapes"
"Coroller",2023,"Video games as a tool for ecological learning: the case of Animal Crossing","Ecosphere"
"Crowley",2021,"The educational value of virtual ecologies in Red Dead Redemption 2","People and Nature"
"Daiiani",2024,"Eco-Game Design Lessons for Climate Communication: Augmenting Players’ Environmentalism","2024 IEEE Conference on Games"
"Daiiani",2024,"Evaluating the Impact of Gameful Design on Pro-Environmental Attitudes: Beyond Blue as Intervention","Proceedings of the 19th International Conference on the Foundations of Digital Games (FDG 2024)"
"de Haan",2017,"Romantic Dissonance: (the Limits to) Wandering through Nature in Open World Role-Playing Videogames","dissertation"
"de Lima Alexandre",2016,"Os moluscos presentes em Pokémon","I Colóquio de Zoologia Cultural - Livro do Evento"
"de Oliveira Henrique",2019,"Contribuições da Franquia Pokemón Para o Ensino de Biologia","Pleiades: Literature in Context"
"Deslis",2019,"Using a Non-educational Mobile Game for Learning in Biology, Geography and Mathematics: Pokémon Go as a Case Study","International Conference on Technology and Innovation in Learning, Teaching and Education"
"Drage",2024,"Euarthropod diversity in Pokémon: searching for the ancestral type","Journal of Geek Studies"
"Drago",2016,"Répteis e anfíbios como inspiração para os 151 primeiros Pokémon","I Colóquio de Zoologia Cultural - Livro do Evento"
"Dunn",2021,"Stepping into the Wildeverse: Evaluating the impact of augmented reality mobile gaming on pro-conservation behaviours","People and Nature"
"England",2016,"Playing with the environment: Rhetorical representations of nature and sustainability in digital game spaces","dissertation"
"Escaravajal-Rodríguez",2018,"Pokémon GO i la seva influència en usuaris espanyols de Facebook","Apunts. Educació Fisica I Esports"
"Feng",2024,"How Game Ecology Drives Player Choices in Strategy Video Games: An Environmental Determinism Perspective","Simulation & Gaming"
"Fisher",2021,"Could Nintendo’s Animal Crossing be a tool for conservation messaging?","People and Nature"
"Fisher",2025,"Minecraft, Mangroves, and Dialogic Potential: An Analysis of Video Game Live Streaming and its Implications for Public Relations Research","dissertation"
"Fizek",2023,"Greening Games Education: A Report on Teaching and Researching Environmental Sustainability in the Context of Video Games","Greening Games Education: A Report on Teaching and Researching Environmental Sustainability in the Context of Video Games"
"Fizek",2024,"Nature Playing: On the Experience of Contemplating Technologically Mediated Nature within the Game World of Riders Republic","Games and Culture"
"Fraile-Jurado",2023,"Geographical Aspects of Open-World Video Games","Games and Culture"
"Fraile-Jurado",2024,"Toward Realism: An Analysis of Coastal Environments in Open-World Video Games","Simulation & Gaming"
"Gabrielaitis",2024,"“Beavers don’t walk on roads”: Beaver-play for more-than-human cartographies","Proceedings of the 8th International GamiFIN Conference"
"Galloway",2020,"Soundwalking and the Aurality of Stardew Valley: An Ethnography of Listening to and Interacting with Environmental Game Audio","Music in the Role-Playing Game: Heroes & Harmonies"
"Galloway",2023,"So You’re Going on a “Short” Hike? Sensory Awareness and Listening to Ecoregions in A Short Hike","Music and the Moving Image"
"Gislam",2023,"The Effect of the Non-Human on the Generation of Narrative and Space in Digital Games","dissertation"
"Gómez-Martínez",2023,"Dark wings, bright insights: a comprehensive analysis of corvid species in Pokémon games","Journal of Geek Studies"
"Goulart",2019,"Os fungos em Pokémon","Revista Multidisciplinar de Estudos Nerds/Geek"
"Goulart",2020,"As plantas carnívoras e cactos Caryophyllales em Pokémon um olhar a partir da Botânica Cultural","A Bruxa"
"Gusland",2021,"Video Games and Sustainability Transformations: Exploring the Potential for Empowered Subjectivities through Virtual Experience A Qualitative Case Study of Eco","dissertation"
"Haske",2016,"Exploring the hidden depths of ‘Abzû: Matt Nava talks the environmental, and mythological, soul of Giant Squid’s breathtaking undersea debut","Inverse"
"Haugom",2019,"When Ludology and Narratology Meet: A Comparative Analysis of an Ecofictional Video Game and an Ecofictional Book","dissertation"
"Ho",2022,"Good ethics cannot stop me from exploiting: The good and bad of anthropocentric attitudes in a game environment","Ambio"
"Ho",2022,"Virtual tree, real impact: how simulated worlds associate with the perception of limited resources","Humanities & Social Sciences Communications"
"Hobbs",2019,"Science Hunters: Teaching Science Concepts in Schools Using Minecraft","ARISE – The Journal of Action Research and Innovation in Science Education"
"Hobbs",2020,"Exploring Coral Reef Conservation in ""Minecraft""","Primary Science"
"Horsten",2022,"What did I just learn?: How commercial video games could underhandedly teach players environmental sustainability","dissertation"
"Hubertová",2021,"Reflection on Environmental Issues in Mainstream Video Games: Asking Players","dissertation"
"Jayaraman",2023,"Design Principles to Foster Respect for Nature in Video Games","dissertation"
"Jepson",2015,"Nature apps: Waiting for the revolution","Ambio"
"Jolly",2023,"Assessing the Extent to Which Players Can Build Sustainable Cities in the Digital City-Builder Game “Cities: Skylines”","Sustainability"
"Kittel",2018,"The entomological diversity of Pokémon","Journal of Geek Studies"
"Kordyaka",2024,"Exploring the association between engagement with location-based game features and geting inspired about environmental issues and nature","Proceedings of the CHI Conference on Human Factors in Computing Systems"
"Laato",2023,"How Location-Based Games Incentivize Moving About: A Study in the Context of Nature-Going","Proceedings of the ACM on Human-Computer Interaction"
"Korhonen",2021,"A Final Fantasy of eco-lifestyle - A case study of environmental agency in two video games","dissertation"
"Kurniawan",2023,"Promoting Ecological Awareness in Metal Gear Solid V: Social Semiotic Approach","Language Literacy: Journal of Linguistics, Literature, and Language Teaching"
"Kvist",2023,"A Crisis of the Imagination: Games as a Tool for Visualizing Potential Futures","dissertation"
"Laato",2022,"Balancing the Augmented Experience: Design Tensions in the Location-Based Game Pikmin Bloom","CHI Conference on Human Factors in Computing Systems Extended Abstracts (CHI ’22 Extended Abstracts), April 29-May 5, 2022"
"Laato",2022,"Gamification of forest-going: Opportunities for players, landowners and the forest industry","Proceedings of the 6th International GamiFIN Conference"
"Laato",2023,"How location-based gaming affects players' nature and forest experiences","Proceedings of the 56th Hawaii International Conference on System Sciences"
"Laato",2024,"Gamification of walking in nature: A field experiment with Pokémon GO Routes","Proceedings of the ACM on Human-Computer Interaction"
"Larreina‑Morales",2023,"Video games for environmental awareness: the accessibility gap","Universal Access in the Information Society"
"Law",2024,"Digital creativity and ecolinguistics: An analysis of Final Fantasy VII Remake Intergrade","Journal of Language and Pop Culture"
"Le Vaillant",2020,"What’s your favourite Pokémon? Pocket monster popularity reflects interest in real-world Biology","Journal of Geek Studies"
"Meyers",2012,"“Green Washing” the Digital Playground: How Virtual Worlds Support Ecological Intelligence…or Do They?","Proceedings of the 2012 iConference"
"Li",2021,"Urban Green Space Analysis on UBC Vancouver Campus: Integrating virtual gaming technology to map cultural use and biodiversity value of urban green space","dissertation"
"Lu",2023,"Blooming Engagement in Flower: Computational Analysis of Player Experience on Steam","Proceedings of the 54th Conference of the International Simulation and Gaming Association"
"Lu",2023,"Human-Environment Relationships in Alba: A Typological Analysis of Player Engagement in Steam Reviews","Proceedings of DiGRA 2023"
"Marinho",2021,"Floral gigantism in the Pokémon world","Journal of Geek Studies"
"May",2023,"From Aesthetics to Asymmetry: Contradictions of Ecological Play in Cities: Skylines","Games and Culture"
"May",2024,"Capitalocene Horizons: Producing, Exploiting and Mourning Nature in Animal Crossing: New Horizons","Proceedings of DiGRA 2024"
"Mendes",2017,"The ichthyological diversity of Pokémon","Journal of Geek Studies"
"Mendes",2018,"Nishikigoi Jump: padrões de cores do Pokémon Magikarp e sua relação com as variedades de carpas koi","A Bruxa"
"Mensah-Bonsu",2022,"Green Game Jam Player Survey 2022: First steps to understanding our audiences","Green Game Jam Player Survey 2022: First steps to understanding our audiences"
"Graça",2020,"Poké-aves: a diversidade ornitológica como referência para a franquia Pokémon","A Bruxa"
"Morawski",2023,"Gaming & Geography (Education): A Model of Reflexive Analysis of Space & Action in Video Games","European Journal of Geography"
"Möring",2024,"Climate-Game-Worlds: A Media-Aesthetic Look at the Depiction and Function of Climate in Computer Games","Ecogames: Playful Perspectives on the Climate Crisis"
"Ng",2024,"Uses and Gratifications of Biophilic Simulation Games","Games and Culture"
"none",2020,"Beyond Blue: a game backed by real science","Journal of Geek Studies"
"Öhman",2016,"Outdoor recreation in exergames: a new step in the detachment from nature?","Journal of Advenure Education and Outdoor Learning"
"Patout",2023,"L’influence du rapport à l’écologie sur la pratique ludique des joueur·euses de jeux vidéo : étude de cas au sein du jeu Eco","dissertation"
"Prado",2017,"Arthropod diversity in Pokémon","Journal of Geek Studies"
"Rago",2024,"Digital Pastoralism: Comparing Japanese and U.S. Notions of Pastoral in Videogames","dissertation"
"Rangel",2020,"Diversidade de aves marinhas em Pokémon uma ferramenta de educação ambiental e conservação","A Bruxa"
"Rangel",2024,"Pokémon as a playful and didactic tool for teaching about ecological interactions","Journal of Biological Education"
"Reed",2025,"Young people's networked constructions of nature: Evidence from a qualitative multiple case study in the United Kingdom","People and Nature"
"Rogers",2018,"Into the Wilds: Influences from Video Games on Our Perception of 'Nature'","dissertation"
"Roncken",2023,"How Players Interact with Sustainability in Eco","dissertation"
"Rosa",2022,"Pokécrustacea: the crustacean-inspired Pokémon","Journal of Geek Studies"
"Saaty",2021,"A Study on Pokémon GO: Exploring the Potential of Location-based Mobile Exergames in Connecting Players with Nature","Extended Abstracts of the 2021 Annual Symposium on Computer-Human Interaction in Play (CHI PLAY ’21), October 18-21, 2021, Virtual Event, Austria"
"Saaty",2021,"Exergames and Nature","Proceedings of the NatureHCI 2021 workshop"
"Salvador",2016,"Squids, octopuses and lots of ink","Journal of Geek Studies"
"Salvador",2019,"Pokémollusca: the mollusk-inspired Pokémon","Journal of Geek Studies"
"Salvador",2021,"The giant snails of ARK: Survival Evolved","Journal of Geek Studies"
"Salvador",2022,"Cicadas in Japanese video games and anime","Journal of Geek Studies"
"Salvador",2023,"The snails of Super Mario Bros.Wonder","Journal of Geek Studies"
"Salvador",2024,"The birds of Fate/Grand Order","Journal of Geek Studies"
"Salvador",2024,"What's the deal with the blue ""robins"" in gacha games?","Journal of Geek Studies"
"Santacreu",2021,"Représentation critique de la nature dans les jeux vidéo post-apocalyptiques : étude du jeu The Last of Us","dissertation"
"Sarges",2022,"Pokémon como ferramenta de divulgação científica em diferentes universos","Botânica Pública"
"Schmidt-Jeffris",2018,"Gotta Catch’em All! Communicating Entomology with Pokémon","American Entomologist"
"Shelomi",2019,"Entomoludology: Arthropods in Video Games","American Entomologist"
"Spors",2024,"Ecological In/congruence: Becoming Sensitised to Nature in Video Games through Humanistic First-Person Research","Proceedings of the CHI Conference on Human Factors in Computing Systems"
"Tait",2017,"Making Gamer Worlds in Mass Appeal Futuristic Online Games","dissertation"
"Tait",2022,"Nonscalability and generating digital outer space natures in No Man’s Sky","EPE: Nature and Space"
"Takemoto",2021,"A Typology of Digital Games Focusing on Potential Contributions to Communicating United Nations Sustainable Development Goals","Economit Journal: Accountancy, Management and Finance"
"Thibault",2022,"ROOT, Woodland Ideologies in a Fantasy Game","FDG '22: Proceedings of the 17th International Conference on the Foundations of Digital Games"
"Thomas",2019,"You’re an oegopsid now: the phylogeny of squid kids from the future","Journal of Geek Studies"
"Tlili",2024,"How environmental perception affects players’ in-game behaviors? Towards developing games in compliance with sustainable development goals","Entertainment Computing"
"Tomotani",2014,"Robins, robins, robins","Journal of Geek Studies"
"Tomotani",2016,"Over(bird)watch","Journal of Geek Studies"
"Trépanier-Jobin",2024,"The Underrealized Ecocritical Potential of ABZÛ","Ecogames: Playful Perspectives on the Climate Crisis"
"Truong",2018,"Gamers Like It Green: The Significance of Vegetation in Online Gaming","Ecopsychology"
"Villarejo-Carballido",2022,"Key Competences for Lifelong Learning through the “Animal Crossing: New Horizons” Video Game","Future Internet"
"Vuong",2021,"A Multinational Data Set of Game Players' Behaviors in a Virtual World and Environmental Perceptions","Data Intelligence"
"Vuong",2021,"On the environment-destructive probabilistic trends: A perceptual and behavioral study on video game players","Technology in Society"
"Wessbo",2023,"Human vs Environment: An Ecolinguistic Analysis of the Game Valheim from a Didactic Perspective","Confero"
"Whittington",2024,"Observant Play and Modding: The Postcolonial, Environmentalist Playthrough of Minecraft","Proceedings of DiGRA 2024"
"Wragg",2024,"Outdoor Play Mediated through Pokémon: Facing the Snorlax","Routledge Handbook of Mobile Technology, Social Media and the Outdoors"
"Zhou",2023,"参与式文化视角下生态科普游戏化研究——基于联合国“玩游戏·救地球”项目分析","科普研究"
"Ruffino",2021,"Nonhuman Games: Playing in the Post-Anthropocene","Death, Culture & Leisure: Playing Dead"
"Bianchi",2019,"Ecoplay: The rhetorics of games about nature","Mediating Nature: The Role of Technology in Ecological Literacy"
"Bódi",2024,"The Duality of Cozy Games: Cozy Agency, Neoliberalism, and Affect","Replay"
"Brown",2014,"The Garden in the Machine: Video Games and Environmental Consciousness","Philological Quarterly"
"Caciuc",2014,"Reflections on the Ecologic Ethics in Online Games","International Journal of Social and Educational Innovation"
"Cole",2020,"Games and the Environment","Games as Texts: A Practical Application of Textual Analysis to Games"
"Emerson",2016,"Is ‘Pokémon Go’ Good For Science?","Vice"
"Fuchs",2020,"Playing (With) the Non-human: The Animal Avatar in Bear Simulator","Outside the Anthropological Machine: Crossing the Human-Animal Divide and Other Exit Strategies"
"Holmes",2019,"Visualizing ecocritical euphoria in Red Dead Redemption 2","Mediating Nature: The Role of Technology in Ecological Literacy"
"Jański",2016,"Towards a Categorisation of Animals in Video Games","Homo Ludens"
"Navarro-Remesal",2019,"Pixelated nature: ecocriticism, animals, moral consideration, and degrowth in videogames","Logos"
"op de Beke",2020,"Anthropocene Temporality in Gaia Games","Kronoscope"
"Pinder",2024,"“So, the Snake’s Finally Come Out of His Hole”: Liminal Relationships between Humans and Nature in the Metal Gear Solid Series","Metal Gear Solid Series: Critical Essays and New Perspectives"
"Pinder",2024,"Negotiating Anthropocentrism and Ecologies in Cozy Games","Replay"
"Pozzo",2020,"Natureza cósmica digital: o narrar ecológico no jogo digital Outer Wilds","ANTARES: Letras E Humanidades"
"Price",2024,"Greening a Green Beret: Diamond Dogs as Environmental Enforcement for Hire in Metal Gear Solid V: The Phantom Pain","Metal Gear Solid Series: Critical Essays and New Perspectives"
"Seller",2020,"Vegetal Horrors: Blair Witch, Darkwood and Non-human Turn Game Studies","Proceedings of DiGRA 2020"
"Smith",2016,"A walk in the park: Is Pokémon Go foreshadowing the future of biodiversity research and scientific outreach?","EMBO reports"
"UNEP",2023,"Playing for the Planet Annual Impact Report 2022","Playing for the Planet Annual Impact Report 2022"
"Butkiewicz",2023,"Analysis of Potential Educational Areas of Pokémon Go! Game Use Based on Mini FGI Method","Roczniki Nauk Społecznych"
"Daiiani",2025,"Gameful interventions for pro-environmental attitude change","International Journal of Human-Computer Studies"
"Cox",2022,"Sustainability in City-Building Games","Proceedings of DiGRA 2022"
"Hobbs",2020,"A collaborative, user-based approach to developing science-communication resources using Minecraft","Social Science Review"
"Pais",2024,"Exploring more-than-human worlds and becoming with living and non-living entities through play","DRS2024: Boston"
"Sena",2023,"Designing Learning Activities in Minecraft for Formal Education in Geography","International Journal of Emerging Technologies in Learning (IJET)"
"Sutherland",2020,"Virtualizing the ‘good life’: reworking narratives of agrarianism and the rural idyll in a computer game","Agriculture and Human Values"
"none",2016,"Gotta name them all: how Pokémon can transform taxonomy","Nature"
"de Oliveira Roque",2016,"Could Pokémon Go boost birding?","Nature"
"Dragomir",2025,"One Does Not Simply Play a Game: Tapping into Game Worlds as Cultural Texts","Digital Studies/Le champ numérique"
"Galloway",2021,"Climate Games, the Blue Humanities, and Listening to the Deep-Sea Ecosystems in Games in a Time of Ecological Crisis","AMP: American Music Perspective"
"Comerford",2020,"Coconuts, Custom-Play & COVID-19: Social Isolation, Serious Leisure and Personas in Animal Crossing: New Horizons","Persona Studies"
