occurrenceID	basisOfRecord	scientificName	vernacularName	taxonRank	kingdom	phylum	class	order	family	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	locality	habitat	countryCode	eventDate	month	associatedReferences	dynamicProperties
SUNDARBANS:OCC:1	HumanObservation	Heritiera fomes	Sundri mangrove	species	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	21.828749	89.159389	5000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/11005100	{"sceneX":0.5,"sceneY":0.52,"trophicRole":"primary_producer","iucnCategory":"EN","seasonalPresence":{"wet":1,"dry":0.85},"cascadeFailOrder":1,"gbifTaxonKey":11005100,"gbifOccurrenceCount":1}
SUNDARBANS:OCC:2	HumanObservation	Apis dorsata	Giant honey bee	species	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	21.949727	89.18333	5000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	4	GBIF Backbone Taxonomy: https://www.gbif.org/species/1341978	{"sceneX":0.32,"sceneY":0.4,"trophicRole":"pollinator","iucnCategory":"NE","seasonalPresence":{"wet":0.5,"dry":1},"cascadeFailOrder":2,"gbifTaxonKey":1341978,"gbifOccurrenceCount":1}
SUNDARBANS:OCC:3	HumanObservation	Axis axis	Chital (spotted deer)	species	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	21.949727	89.18333	5000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/2440934	{"sceneX":0.22,"sceneY":0.6,"trophicRole":"herbivore","iucnCategory":"LC","seasonalPresence":{"wet":0.9,"dry":1},"cascadeFailOrder":2,"gbifTaxonKey":2440934,"gbifOccurrenceCount":11}
SUNDARBANS:OCC:4	HumanObservation	Scylla serrata	Mud crab	species	Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	21.954	89.184	10000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/2225562	{"sceneX":0.62,"sceneY":0.7,"trophicRole":"detritivore","iucnCategory":"NE","seasonalPresence":{"wet":1,"dry":0.8},"cascadeFailOrder":2,"gbifTaxonKey":2225562,"gbifOccurrenceCount":0}
SUNDARBANS:OCC:5	HumanObservation	Tenualosa ilisha	Hilsa shad	species	Animalia	Chordata		Clupeiformes	Clupeidae	21.827841	89.195423	5000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	7	GBIF Backbone Taxonomy: https://www.gbif.org/species/2413382	{"sceneX":0.8,"sceneY":0.74,"trophicRole":"consumer","iucnCategory":"LC","seasonalPresence":{"wet":1,"dry":0.4},"cascadeFailOrder":3,"gbifTaxonKey":2413382,"gbifOccurrenceCount":3}
SUNDARBANS:OCC:6	HumanObservation	Todiramphus chloris	Collared kingfisher	species	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	21.949727	89.18333	5000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/2475742	{"sceneX":0.7,"sceneY":0.42,"trophicRole":"predator","iucnCategory":"LC","seasonalPresence":{"wet":1,"dry":1},"cascadeFailOrder":4,"gbifTaxonKey":2475742,"gbifOccurrenceCount":87}
SUNDARBANS:OCC:7	CameraTrap	Prionailurus viverrinus	Fishing cat	species	Animalia	Chordata	Mammalia	Carnivora	Felidae	21.922	89.152	10000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/2434899	{"sceneX":0.9,"sceneY":0.58,"trophicRole":"mesopredator","iucnCategory":"VU","seasonalPresence":{"wet":1,"dry":1},"cascadeFailOrder":4,"gbifTaxonKey":2434899,"gbifOccurrenceCount":0}
SUNDARBANS:OCC:8	CameraTrap	Panthera tigris tigris	Bengal tiger	subspecies	Animalia	Chordata	Mammalia	Carnivora	Felidae	21.825174	88.913406	5000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/7059276	{"sceneX":0.15,"sceneY":0.76,"trophicRole":"apex_predator","iucnCategory":"EN","seasonalPresence":{"wet":1,"dry":1},"cascadeFailOrder":5,"gbifTaxonKey":7059276,"gbifOccurrenceCount":11}
SUNDARBANS:OCC:9	HumanObservation	Homo sapiens	Mawali honey collectors and fisher communities	species	Animalia	Chordata	Mammalia	Primates	Hominidae	21.946	89.176	10000	Sundarbans Reserved Forest	Mangrove tidal forest	BD	1973/2024	0	GBIF Backbone Taxonomy: https://www.gbif.org/species/2436436	{"sceneX":0.5,"sceneY":0.9,"trophicRole":"human_community","iucnCategory":"LC","seasonalPresence":{"wet":0.7,"dry":1},"cascadeFailOrder":0,"gbifTaxonKey":2436436,"gbifOccurrenceCount":0}
